model,dimension,parameter_samples,input_samples,estimate,bootstrap_mean,bootstrap_bias,bootstrap_standard_error,basic_ci_2.5_percent,basic_ci_97.5_percent,trace_renormalized_each_replicate
QNN,40,100,100,0.8984248324316566,0.8981316553952429,-0.0002931770364137387,0.0020597183329746837,0.8949786782063035,0.9029102659097477,True
easy QNN,40,100,100,0.7714541404650445,0.7712547841904811,-0.00019935627456335592,0.0015749666617436166,0.7687476116896014,0.774898441196416,True
published classical archive,28,100,100,0.5793597344047635,0.5758367184680049,-0.0035230159367586333,0.013516236366311383,0.5592062381354541,0.6115227193978746,True
rebuilt classical 100x100,40,100,100,0.6244404628449634,0.6211698246055333,-0.0032706382394300793,0.010437849840618997,0.6141594573708855,0.6644010452944007,True
rebuilt classical 2000x100,40,2000,100,0.6485089261775917,0.6469346639993785,-0.001574262178213215,0.005506783593886193,0.6421004521017944,0.6645033175182925,True
rebuilt classical 100x2000,40,100,2000,0.6526347009744332,0.6486756108866453,-0.003959090087787942,0.010987230519556239,0.6409440058636758,0.6884115728721104,True
rebuilt classical 2000x2000,40,2000,2000,0.6781699318349987,0.6761641534466659,-0.002005778388332824,0.005527935971985197,0.6716101261742117,0.6916080492656215,True
