alpha,max_logit_difference,fisher_rank,point_fisher_effective_dimension
0.1,4.440892098500626e-16,5,4.324905482307703
0.2,4.440892098500626e-16,5,4.493000753345062
0.5,0.0,5,4.711552512436498
1.0,0.0,5,4.790642183642922
2.0,0.0,5,4.371745956018897
5.0,4.440892098500626e-16,5,3.3082159897158134
10.0,4.440892098500626e-16,5,2.7547392292358217
20.0,4.440892098500626e-16,5,2.517658845202108
100.0,8.881784197001252e-16,5,2.354249958173053
