integer_shear_m,effective_dimension_over_d,condition_number_AtA
0,1.0000999943477173,1.0
1,0.9441560941597004,6.854101966249685
2,0.848976036341528,33.970562748477114
3,0.7672259629374905,118.99159604515543
4,0.7038269518914776,321.99689437999086
5,0.656279545717989,726.9986244815418
6,0.6218982126107885,1441.9993065185433
7,0.5980057755499276,2598.9996152365784
8,0.5819209110718956,4353.999770326856
9,0.5712729226357183,6886.99985479881
10,0.5642386267167299,10401.999903865877
