stretch_scale,effective_dimension
1.0,2.965353403402841
3.0,2.664569618373714
10.0,2.0632624885771653
100.0,1.2155112777916774
10000.0,1.1465668573864063
1000000.0,1.1465589225278878
directional_limit,1.14655892173431
universal_jensen_bound,1.1519520884013599
