construction,parameter,two_scale_ed,normalized
diagonal_linear,1,43.281688346251165,1.082042208656279
diagonal_linear,2,43.12588579241596,1.078147144810399
diagonal_linear,5,41.648766199542344,1.0412191549885585
diagonal_linear,10,38.75868746796219,0.9689671866990548
diagonal_linear,20,35.13048421517948,0.878262105379487
diagonal_linear,100,29.6099844028357,0.7402496100708925
diagonal_linear,1000,27.780052286105697,0.6945013071526425
diagonal_linear,1000000,27.557135106939537,0.6889283776734885
same_torus_integer_shear,0,43.281688346251165,1.082042208656279
same_torus_integer_shear,1,43.18459552010604,1.079614888002651
same_torus_integer_shear,5,41.34395750861715,1.0335989377154289
same_torus_integer_shear,10,38.49177808456373,0.9622944521140931
same_torus_integer_shear,20,34.94361129326236,0.8735902823315589
same_torus_integer_shear,100,29.55782631690886,0.7389456579227215
same_torus_integer_shear,1000,27.774336353227564,0.6943584088306891
same_torus_integer_shear,1000000,27.557129329111543,0.6889282332277886
