model,transform,condition,ed_over_d
QNN,identity,1.0,0.8984248324316566
QNN,pairing=0;m=-5,726.9986244815418,0.5896372341427489
QNN,pairing=0;m=-4,321.9968943799908,0.6256729526402739
QNN,pairing=0;m=-3,118.99159604515542,0.6788087996710144
QNN,pairing=0;m=-2,33.970562748477114,0.7533790268454156
QNN,pairing=0;m=-1,6.854101966249686,0.8441257348814822
QNN,pairing=0;m=+1,6.854101966249686,0.8455911353115232
QNN,pairing=0;m=+2,33.970562748477114,0.7545750394874411
QNN,pairing=0;m=+3,118.99159604515542,0.6793222775323037
QNN,pairing=0;m=+4,321.9968943799908,0.62566510724914
QNN,pairing=0;m=+5,726.9986244815418,0.589350901738895
QNN,pairing=1;m=-5,726.9986244815769,0.5941185010792831
QNN,pairing=1;m=-4,321.99689437999075,0.6299450211743737
QNN,pairing=1;m=-3,118.9915960451559,0.6831525708255575
QNN,pairing=1;m=-2,33.970562748477164,0.7578726983950336
QNN,pairing=1;m=-1,6.854101966249688,0.847761391954459
QNN,pairing=1;m=+1,6.854101966249688,0.8438070297714335
QNN,pairing=1;m=+2,33.970562748477164,0.7539784355293353
QNN,pairing=1;m=+3,118.9915960451559,0.6802361440800848
QNN,pairing=1;m=+4,321.99689437999075,0.627953419718242
QNN,pairing=1;m=+5,726.9986244815769,0.5928205446653209
QNN,pairing=2;m=-5,726.9986244815769,0.5941174668945761
QNN,pairing=2;m=-4,321.99689437999075,0.6300809059831469
QNN,pairing=2;m=-3,118.9915960451559,0.6832130221143257
QNN,pairing=2;m=-2,33.970562748477185,0.7574232458742938
QNN,pairing=2;m=-1,6.854101966249688,0.8465385243328732
QNN,pairing=2;m=+1,6.854101966249688,0.8467199049636009
QNN,pairing=2;m=+2,33.970562748477185,0.7576561956702632
QNN,pairing=2;m=+3,118.9915960451559,0.6834633303943909
QNN,pairing=2;m=+4,321.99689437999075,0.6303092668695706
QNN,pairing=2;m=+5,726.9986244815769,0.594304274877019
QNN,pairing=3;m=-5,726.9986244815769,0.586896040522489
QNN,pairing=3;m=-4,321.99689437999075,0.6219053431602661
QNN,pairing=3;m=-3,118.9915960451559,0.6749797935746076
QNN,pairing=3;m=-2,33.970562748477185,0.7511096610452934
QNN,pairing=3;m=-1,6.854101966249688,0.8449798186116757
QNN,pairing=3;m=+1,6.854101966249688,0.8384576657106522
QNN,pairing=3;m=+2,33.970562748477185,0.7448311572755892
QNN,pairing=3;m=+3,118.9915960451559,0.670212401675016
QNN,pairing=3;m=+4,321.99689437999075,0.6184509374468672
QNN,pairing=3;m=+5,726.9986244815769,0.5844080232206943
QNN,pairing=4;m=-5,726.9986244815769,0.5898001344579047
QNN,pairing=4;m=-4,321.99689437999075,0.6257641182822545
QNN,pairing=4;m=-3,118.9915960451559,0.6798840165613489
QNN,pairing=4;m=-2,33.97056274847725,0.7567455454545341
QNN,pairing=4;m=-1,6.854101966249688,0.8496396008031523
QNN,pairing=4;m=+1,6.854101966249688,0.8366189296641486
QNN,pairing=4;m=+2,33.97056274847725,0.7443128825454217
QNN,pairing=4;m=+3,118.9915960451559,0.6707937447790809
QNN,pairing=4;m=+4,321.99689437999075,0.6195604012053054
QNN,pairing=4;m=+5,726.9986244815769,0.585644140072196
QNN,pairing=5;m=-5,726.9986244815769,0.5922959736430007
QNN,pairing=5;m=-4,321.99689437999075,0.6275793310028658
QNN,pairing=5;m=-3,118.9915960451559,0.680790110565854
QNN,pairing=5;m=-2,33.970562748477164,0.7564914645216311
QNN,pairing=5;m=-1,6.854101966249688,0.8482488094695062
QNN,pairing=5;m=+1,6.854101966249688,0.8397822069724696
QNN,pairing=5;m=+2,33.970562748477164,0.7483635361147047
QNN,pairing=5;m=+3,118.9915960451559,0.6748625035694461
QNN,pairing=5;m=+4,321.99689437999075,0.6235890580488063
QNN,pairing=5;m=+5,726.9986244815769,0.589702164605295
QNN,pairing=6;m=-5,726.9986244815769,0.5889598619520768
QNN,pairing=6;m=-4,321.99689437999075,0.6248098467366217
QNN,pairing=6;m=-3,118.9915960451559,0.6783968878032168
QNN,pairing=6;m=-2,33.970562748477185,0.7541967714032816
QNN,pairing=6;m=-1,6.854101966249688,0.8463225892709698
QNN,pairing=6;m=+1,6.854101966249688,0.8409204545980058
QNN,pairing=6;m=+2,33.970562748477185,0.7488518479998316
QNN,pairing=6;m=+3,118.9915960451559,0.6742212440351968
QNN,pairing=6;m=+4,321.99689437999075,0.6217402592552518
QNN,pairing=6;m=+5,726.9986244815769,0.5867827080188145
QNN,pairing=7;m=-5,726.9986244815769,0.5823717206576664
QNN,pairing=7;m=-4,321.99689437999075,0.617332719651876
QNN,pairing=7;m=-3,118.9915960451559,0.6704350926237258
QNN,pairing=7;m=-2,33.970562748477185,0.7470232671250885
QNN,pairing=7;m=-1,6.854101966249688,0.8425774047533791
QNN,pairing=7;m=+1,6.854101966249688,0.8372181662006906
QNN,pairing=7;m=+2,33.970562748477185,0.7418852461724674
QNN,pairing=7;m=+3,118.9915960451559,0.6664665001765524
QNN,pairing=7;m=+4,321.99689437999075,0.6143510674944819
QNN,pairing=7;m=+5,726.9986244815769,0.5801259055573488
QNN,pairing=8;m=-5,726.9986244815769,0.5889756720163432
QNN,pairing=8;m=-4,321.99689437999075,0.6242322446659273
QNN,pairing=8;m=-3,118.9915960451559,0.677192331449909
QNN,pairing=8;m=-2,33.970562748477185,0.7524127271578941
QNN,pairing=8;m=-1,6.854101966249688,0.8444637315213483
QNN,pairing=8;m=+1,6.854101966249688,0.8426960507908777
QNN,pairing=8;m=+2,33.970562748477185,0.7506318460542694
QNN,pairing=8;m=+3,118.9915960451559,0.6757325230744382
QNN,pairing=8;m=+4,321.99689437999075,0.6230752011646628
QNN,pairing=8;m=+5,726.9986244815769,0.5880736948479284
QNN,pairing=9;m=-5,726.9986244815769,0.5890979620755926
QNN,pairing=9;m=-4,321.99689437999075,0.6246481898280096
QNN,pairing=9;m=-3,118.9915960451559,0.6777249770899616
QNN,pairing=9;m=-2,33.970562748477185,0.7528046794308639
QNN,pairing=9;m=-1,6.854101966249688,0.8444590580361275
QNN,pairing=9;m=+1,6.854101966249688,0.8435503551422
QNN,pairing=9;m=+2,33.970562748477185,0.7518847464566716
QNN,pairing=9;m=+3,118.9915960451559,0.6769967074098442
QNN,pairing=9;m=+4,321.99689437999075,0.624138599261643
QNN,pairing=9;m=+5,726.9986244815769,0.5887944778787654
QNN,pairing=10;m=-5,726.9986244815769,0.5809888890009214
QNN,pairing=10;m=-4,321.99689437999075,0.6147707782708036
QNN,pairing=10;m=-3,118.9915960451559,0.6667366838333295
QNN,pairing=10;m=-2,33.970562748477185,0.7424857433069303
QNN,pairing=10;m=-1,6.854101966249688,0.8383762871678462
QNN,pairing=10;m=+1,6.854101966249688,0.8402005924278377
QNN,pairing=10;m=+2,33.970562748477185,0.7442367856871215
QNN,pairing=10;m=+3,118.9915960451559,0.6680639621001982
QNN,pairing=10;m=+4,321.99689437999075,0.6156743831458829
QNN,pairing=10;m=+5,726.9986244815769,0.5815314580037197
QNN,pairing=11;m=-5,726.9986244815769,0.5894081648515346
QNN,pairing=11;m=-4,321.99689437999075,0.6246028029890561
QNN,pairing=11;m=-3,118.9915960451559,0.6776584611760956
QNN,pairing=11;m=-2,33.970562748477185,0.7532480168140445
QNN,pairing=11;m=-1,6.854101966249688,0.8456482529118425
