contrast,m,condition_bound,estimate,bootstrap_mean,bootstrap_bias,bootstrap_standard_error,basic_ci_2.5_percent,basic_ci_97.5_percent
rebuilt classical high minus QNN low,2,33.970562748477114,-0.059425143028294714,-0.061198646569420846,-0.0017735035411261327,0.005875299868475613,-0.06711994734880221,-0.04557760465803255
rebuilt classical high minus QNN low,3,118.99159604515543,0.016136435831223928,0.01428534050952512,-0.001851095321698807,0.005768639736726687,0.008821655176956943,0.029989045409051996
rebuilt classical high minus QNN low,4,321.99689437999086,0.06777142926980662,0.06585681044503319,-0.001914618824773423,0.005676806516914067,0.0608638293040588,0.08142946912663733
rebuilt classical high minus QNN low,5,726.9986244815418,0.10126057918817821,0.09930989738651345,-0.0019506818016647581,0.00562271743563949,0.09441856548821856,0.11496747469958138
rebuilt classical high minus easy QNN low,2,33.970562748477114,0.04029592042104524,0.038390260905092316,-0.0019056595159529233,0.005690776414570164,0.032852886631598056,0.05403408235476307
rebuilt classical high minus easy QNN low,3,118.99159604515543,0.09525638087382182,0.09331112205044817,-0.0019452588233736523,0.005655726106612517,0.08807059376809202,0.10912382983968108
rebuilt classical high minus easy QNN low,4,321.99689437999086,0.12911429134494057,0.12715245256398341,-0.0019618387809571536,0.005632075040937692,0.12212506092551637,0.14298666154290834
rebuilt classical high minus easy QNN low,5,726.9986244815418,0.14937056230616708,0.14740249902852895,-0.001968063277638127,0.005616627086290523,0.14238893875335285,0.16318268274448514
