model,endpoint,canonical_pairing_only,fifty_matchings,difference
QNN,low,0.589350901738895,0.5769093526468192,-0.012441549092075843
QNN,high,0.8984248324316566,0.8984248324316566,0.0
easy QNN,low,0.5362978255307217,0.5287993695288303,-0.007498456001891363
easy QNN,high,0.7714541404650445,0.7714541404650445,0.0
published classical archive,low,0.4208670796596203,0.3985726340748822,-0.022294445584738087
published classical archive,high,0.6147807176239468,0.6147807176239468,0.0
rebuilt classical 2000x2000,low,0.5021674939065299,0.48726210401211645,-0.014905389894413479
rebuilt classical 2000x2000,high,0.6781699318349974,0.6781699318349974,0.0
