d,dataset_size,integer_shear_m,analytic_ed,qiskit_source_equivalent_ed,abs_difference
40,100000,0,40.003999773908696,40.003999773908696,0.0
40,100000,1,39.86761991900382,39.86761991900383,7.105427357601002e-15
40,100000,5,37.32500654543425,37.32500654543425,0.0
40,100000,10,33.11565098949578,33.11565098949579,1.4210854715202004e-14
40,100000,20,26.97658714321989,26.976587143219895,3.552713678800501e-15
40,100000,100,11.351602263220672,11.351602263220665,7.105427357601002e-15
40,100000,1000,1.792910268036409,1.792910268036412,2.886579864025407e-15
40,100000,1000000,1.510109912217243,1.5101099122172439,8.881784197001252e-16
